,cand_nm,contbr_zip,contbr_employer,contbr_occupation,contb_receipt_amt,occ_cat,converted_date,payment_yr
103,"Sanders, Bernard",20001,CWA,UNION REPRESENTATIVE,100.0,other,201906,2019
104,"Sanders, Bernard",20001,CWA,UNION REPRESENTATIVE,3.0,other,201906,2019
105,"Sanders, Bernard",20001,CWA,UNION REPRESENTATIVE,27.0,other,201906,2019
134,"Sanders, Bernard",20007,ZUCKERMAN SPAEDER LLP,IT,3.0,it,201903,2019
135,"Sanders, Bernard",20001,FIRESIDE21,SOFTWARE DEVELOPER,27.0,it,201906,2019
136,"Sanders, Bernard",20001,FIRESIDE21,SOFTWARE DEVELOPER,200.0,it,201906,2019
138,"Sanders, Bernard",20001,FIRESIDE21,SOFTWARE DEVELOPER,200.0,it,201905,2019
140,"Sanders, Bernard",20001,MADE BY WE LLC,PARTNER,4.26,leadership,201904,2019
141,"Sanders, Bernard",20001,MADE BY WE LLC,PARTNER,27.0,leadership,201904,2019
142,"Sanders, Bernard",20001,MADE BY WE LLC,PARTNER,27.0,leadership,201904,2019
143,"Sanders, Bernard",20001,MADE BY WE LLC,PARTNER,27.0,leadership,201905,2019
144,"Sanders, Bernard",20001,MADE BY WE LLC,PARTNER,50.0,leadership,201905,2019
145,"Sanders, Bernard",20001,MADE BY WE LLC,PARTNER,50.0,leadership,201905,2019
146,"Sanders, Bernard",20001,MADE BY WE LLC,PARTNER,50.0,leadership,201906,2019
147,"Sanders, Bernard",20001,MADE BY WE LLC,PARTNER,50.0,leadership,201906,2019
148,"Sanders, Bernard",20001,MADE BY WE LLC,PARTNER,27.0,leadership,201906,2019
149,"Sanders, Bernard",20001,MADE BY WE LLC,PARTNER,50.0,leadership,201906,2019
158,"Sanders, Bernard",20006,EARTHWORKS,ORGANIZER,4.2,business/gov,201904,2019
159,"Sanders, Bernard",20006,EARTHWORKS,ORGANIZER,27.0,business/gov,201904,2019
161,"Sanders, Bernard",20003,NAACP LEGAL DEFENSE & EDUCATIONAL FUND,ATTORNEY,3.0,law,201903,2019
164,"Sanders, Bernard",20001,GSA,ADVISOR,27.0,other,201903,2019
166,"Sanders, Bernard",20003,NATIONAL RENEWABLE ENERGY LABORATORY,RESEARCHER,50.0,science,201903,2019
168,"Sanders, Bernard",20008,US DEPARTMENT OF ENERGY,ATTORNEY,500.0,law,201902,2019
169,"Sanders, Bernard",20006,EARTHWORKS,ORGANIZER,100.0,business/gov,201906,2019
170,"Sanders, Bernard",20006,EARTHWORKS,ORGANIZER,50.0,business/gov,201906,2019
171,"Sanders, Bernard",20006,EARTHWORKS,ORGANIZER,50.0,business/gov,201906,2019
173,"Sanders, Bernard",20001,UMD,PROF,250.0,education,201902,2019
176,"Sanders, Bernard",20013,NOT EMPLOYED,NOT EMPLOYED,3.0,not employed or unknown,201903,2019
178,"Sanders, Bernard",20001,UMD,PROF,375.0,education,201903,2019
179,"Sanders, Bernard",20037,COVINGTON & BURLING,LAWYER,250.0,law,201902,2019
181,"Sanders, Bernard",20018,SMITHSONIAN,PROGRAM MANAGER,3.0,business/gov,201903,2019
184,"Sanders, Bernard",20010,MONTAGE INC,PROJECT MANAGER,3.0,business/gov,201903,2019
185,"Sanders, Bernard",20007,ZUCKERMAN SPAEDER LLP,IT,3.0,it,201903,2019
189,"Trump, Donald J.",20037,RETIRED,RETIRED,1050.0,retired,201901,2019
190,"Trump, Donald J.",20037,RETIRED,RETIRED,1200.0,retired,201901,2019
