,cand_nm,contbr_zip,contb_receipt_amt,converted_date,income,target
0,"Sanders, Bernard",20001,100.0,201906,85976.0,2
1,"Sanders, Bernard",20001,3.0,201906,85976.0,2
2,"Sanders, Bernard",20001,27.0,201906,85976.0,2
3,"Sanders, Bernard",20007,3.0,201903,119267.0,2
4,"Sanders, Bernard",20001,27.0,201906,85976.0,2
5,"Sanders, Bernard",20001,200.0,201906,85976.0,2
6,"Sanders, Bernard",20001,200.0,201905,85976.0,2
7,"Sanders, Bernard",20001,4.26,201904,85976.0,2
8,"Sanders, Bernard",20001,27.0,201904,85976.0,2
9,"Sanders, Bernard",20001,27.0,201904,85976.0,2
10,"Sanders, Bernard",20001,27.0,201905,85976.0,2
11,"Sanders, Bernard",20001,50.0,201905,85976.0,2
12,"Sanders, Bernard",20001,50.0,201905,85976.0,2
13,"Sanders, Bernard",20001,50.0,201906,85976.0,2
14,"Sanders, Bernard",20001,50.0,201906,85976.0,2
15,"Sanders, Bernard",20001,27.0,201906,85976.0,2
16,"Sanders, Bernard",20001,50.0,201906,85976.0,2
17,"Sanders, Bernard",20006,4.2,201904,34125.0,2
18,"Sanders, Bernard",20006,27.0,201904,34125.0,2
19,"Sanders, Bernard",20003,3.0,201903,112083.0,2
20,"Sanders, Bernard",20001,27.0,201903,85976.0,2
21,"Sanders, Bernard",20003,50.0,201903,112083.0,2
22,"Sanders, Bernard",20008,500.0,201902,111074.0,2
23,"Sanders, Bernard",20006,100.0,201906,34125.0,2
24,"Sanders, Bernard",20006,50.0,201906,34125.0,2
25,"Sanders, Bernard",20006,50.0,201906,34125.0,2
26,"Sanders, Bernard",20001,250.0,201902,85976.0,2
28,"Sanders, Bernard",20001,375.0,201903,85976.0,2
29,"Sanders, Bernard",20037,250.0,201902,78176.0,2
30,"Sanders, Bernard",20018,3.0,201903,58821.0,2
31,"Sanders, Bernard",20010,3.0,201903,66404.0,2
32,"Sanders, Bernard",20007,3.0,201903,119267.0,2
33,"Sanders, Bernard",20007,3.0,201903,119267.0,2
34,"Sanders, Bernard",20002,100.0,201902,74303.0,2
35,"Sanders, Bernard",20008,100.0,201903,111074.0,2
36,"Sanders, Bernard",20009,500.0,201903,94213.0,2
37,"Sanders, Bernard",20007,1.0,201903,119267.0,2
38,"Sanders, Bernard",20001,50.0,201903,85976.0,2
39,"Sanders, Bernard",20003,27.0,201903,112083.0,2
40,"Sanders, Bernard",20016,15.0,201903,124080.0,2
41,"Sanders, Bernard",20010,102.0,201903,66404.0,2
42,"Sanders, Bernard",20003,5.0,201903,112083.0,2
43,"Sanders, Bernard",20024,120.0,201903,72389.0,2
44,"Sanders, Bernard",20003,30.86,201902,112083.0,2
45,"Sanders, Bernard",20009,500.0,201902,94213.0,2
46,"Sanders, Bernard",20010,27.0,201903,66404.0,2
47,"Sanders, Bernard",20003,250.0,201902,112083.0,2
48,"Sanders, Bernard",20010,3.0,201903,66404.0,2
49,"Sanders, Bernard",20002,100.0,201902,74303.0,2
50,"Sanders, Bernard",20010,3.0,201902,66404.0,2
51,"Sanders, Bernard",20011,500.0,201902,62281.0,2
52,"Sanders, Bernard",20009,500.0,201903,94213.0,2
53,"Sanders, Bernard",20007,3.0,201903,119267.0,2
54,"Sanders, Bernard",20007,5.0,201903,119267.0,2
55,"Sanders, Bernard",20007,3.0,201903,119267.0,2
56,"Sanders, Bernard",20001,250.0,201902,85976.0,2
57,"Sanders, Bernard",20007,3.0,201903,119267.0,2
58,"Sanders, Bernard",20007,250.0,201902,119267.0,2
59,"Sanders, Bernard",20005,100.0,201903,87676.0,2
60,"Sanders, Bernard",20005,50.0,201902,87676.0,2
61,"Sanders, Bernard",20007,3.0,201903,119267.0,2
62,"Sanders, Bernard",20037,100.0,201903,78176.0,2
63,"Sanders, Bernard",20007,3.0,201903,119267.0,2
64,"Sanders, Bernard",20037,27.0,201903,78176.0,2
65,"Sanders, Bernard",20015,50.0,201903,161352.0,2
66,"Sanders, Bernard",20006,250.0,201903,34125.0,2
67,"Sanders, Bernard",20012,250.0,201903,80991.0,2
68,"Sanders, Bernard",20003,27.0,201903,112083.0,2
69,"Sanders, Bernard",20001,23.86,201903,85976.0,2
70,"Sanders, Bernard",20012,27.0,201903,80991.0,2
71,"Sanders, Bernard",20016,50.0,201903,124080.0,2
72,"Sanders, Bernard",20037,3.0,201903,78176.0,2
73,"Sanders, Bernard",20003,20.0,201903,112083.0,2
74,"Sanders, Bernard",20015,3.0,201903,161352.0,2
75,"Sanders, Bernard",20007,3.0,201903,119267.0,2
76,"Sanders, Bernard",20003,100.0,201903,112083.0,2
77,"Sanders, Bernard",20007,1.0,201903,119267.0,2
78,"Sanders, Bernard",20003,100.0,201903,112083.0,2
79,"Sanders, Bernard",20003,27.0,201902,112083.0,2
80,"Sanders, Bernard",20007,1.0,201903,119267.0,2
81,"Sanders, Bernard",20007,27.0,201903,119267.0,2
82,"Sanders, Bernard",20007,100.0,201903,119267.0,2
83,"Sanders, Bernard",20011,250.0,201902,62281.0,2
84,"Sanders, Bernard",20015,35.0,201903,161352.0,2
86,"Sanders, Bernard",20010,100.0,201902,66404.0,2
87,"Sanders, Bernard",20010,3.0,201903,66404.0,2
88,"Sanders, Bernard",20010,3.0,201903,66404.0,2
89,"Sanders, Bernard",20007,3.0,201903,119267.0,2
90,"Sanders, Bernard",20010,3.0,201902,66404.0,2
91,"Sanders, Bernard",20001,3.0,201903,85976.0,2
93,"Sanders, Bernard",20015,500.0,201902,161352.0,2
94,"Sanders, Bernard",20007,15.0,201903,119267.0,2
95,"Sanders, Bernard",20010,95.0,201903,66404.0,2
96,"Sanders, Bernard",20002,100.0,201903,74303.0,2
97,"Sanders, Bernard",20003,75.0,201902,112083.0,2
98,"Sanders, Bernard",20009,27.0,201903,94213.0,2
99,"Sanders, Bernard",20003,10.0,201903,112083.0,2
100,"Sanders, Bernard",20007,5.0,201903,119267.0,2
101,"Sanders, Bernard",20009,27.0,201903,94213.0,2
104,"Sanders, Bernard",20003,100.0,201903,112083.0,2
105,"Sanders, Bernard",20001,200.0,201902,85976.0,2
106,"Sanders, Bernard",20010,3.0,201903,66404.0,2
107,"Sanders, Bernard",20001,10.0,201903,85976.0,2
108,"Sanders, Bernard",20010,3.0,201903,66404.0,2
109,"Sanders, Bernard",20008,100.0,201903,111074.0,2
110,"Sanders, Bernard",20003,69.99,201903,112083.0,2
111,"Sanders, Bernard",20007,3.0,201903,119267.0,2
112,"Buttigieg, Pete",20001,250.0,201903,85976.0,1
113,"Buttigieg, Pete",20001,250.0,201903,85976.0,1
114,"Sanders, Bernard",20010,3.0,201902,66404.0,2
115,"Buttigieg, Pete",20009,250.0,201903,94213.0,1
116,"Buttigieg, Pete",20003,250.0,201903,112083.0,1
117,"Buttigieg, Pete",20009,500.0,201903,94213.0,1
118,"Buttigieg, Pete",20009,33.29,201903,94213.0,1
119,"Buttigieg, Pete",20009,250.0,201902,94213.0,1
120,"Buttigieg, Pete",20009,250.0,201903,94213.0,1
121,"Buttigieg, Pete",20009,250.0,201903,94213.0,1
122,"Buttigieg, Pete",20008,400.0,201903,111074.0,1
123,"Buttigieg, Pete",20003,250.0,201901,112083.0,1
124,"Buttigieg, Pete",20003,100.0,201902,112083.0,1
125,"Buttigieg, Pete",20003,100.0,201903,112083.0,1
126,"Buttigieg, Pete",20003,100.0,201903,112083.0,1
127,"Buttigieg, Pete",20005,1500.0,201903,87676.0,1
128,"Buttigieg, Pete",20015,250.0,201903,161352.0,1
129,"Buttigieg, Pete",20002,100.0,201903,74303.0,1
130,"Buttigieg, Pete",20002,250.0,201903,74303.0,1
131,"Buttigieg, Pete",20002,25.0,201903,74303.0,1
132,"Buttigieg, Pete",20010,200.0,201903,66404.0,1
133,"Buttigieg, Pete",20009,250.0,201903,94213.0,1
134,"Sanders, Bernard",20010,3.0,201903,66404.0,2
135,"Buttigieg, Pete",20016,200.0,201903,124080.0,1
136,"Buttigieg, Pete",20010,200.0,201903,66404.0,1
137,"Buttigieg, Pete",20015,500.0,201903,161352.0,1
138,"Buttigieg, Pete",20007,250.0,201903,119267.0,1
139,"Buttigieg, Pete",20008,500.0,201903,111074.0,1
140,"Buttigieg, Pete",20008,10.0,201903,111074.0,1
141,"Buttigieg, Pete",20003,250.0,201903,112083.0,1
142,"Buttigieg, Pete",20009,250.0,201903,94213.0,1
143,"Buttigieg, Pete",20009,25.0,201903,94213.0,1
144,"Sanders, Bernard",20010,50.0,201903,66404.0,2
145,"Buttigieg, Pete",20003,500.0,201903,112083.0,1
146,"Buttigieg, Pete",20016,100.0,201903,124080.0,1
147,"Buttigieg, Pete",20016,25.0,201903,124080.0,1
148,"Buttigieg, Pete",20007,250.0,201903,119267.0,1
149,"Buttigieg, Pete",20009,500.0,201902,94213.0,1
150,"Buttigieg, Pete",20009,250.0,201903,94213.0,1
151,"Buttigieg, Pete",20002,250.0,201903,74303.0,1
152,"Buttigieg, Pete",20009,2800.0,201903,94213.0,1
153,"Buttigieg, Pete",20008,250.0,201903,111074.0,1
154,"Buttigieg, Pete",20008,500.0,201903,111074.0,1
155,"Buttigieg, Pete",20007,2700.0,201903,119267.0,1
156,"Buttigieg, Pete",20015,250.0,201903,161352.0,1
157,"Buttigieg, Pete",20009,500.0,201903,94213.0,1
158,"Buttigieg, Pete",20015,50.0,201903,161352.0,1
159,"Buttigieg, Pete",20009,500.0,201901,94213.0,1
160,"Buttigieg, Pete",20016,50.0,201903,124080.0,1
161,"Buttigieg, Pete",20003,1000.0,201903,112083.0,1
162,"Buttigieg, Pete",20008,250.0,201903,111074.0,1
163,"Buttigieg, Pete",20009,250.0,201903,94213.0,1
164,"Buttigieg, Pete",20009,250.0,201903,94213.0,1
165,"Buttigieg, Pete",20011,400.0,201903,62281.0,1
166,"Buttigieg, Pete",20024,100.0,201903,72389.0,1
167,"Buttigieg, Pete",20024,25.0,201903,72389.0,1
168,"Buttigieg, Pete",20008,500.0,201903,111074.0,1
169,"Buttigieg, Pete",20009,250.0,201902,94213.0,1
170,"Buttigieg, Pete",20009,250.0,201903,94213.0,1
171,"Buttigieg, Pete",20016,50.0,201903,124080.0,1
172,"Buttigieg, Pete",20003,250.0,201903,112083.0,1
