,cand_nm,contbr_zip,contbr_occupation,contb_receipt_amt,occ_cat,converted_date,zip,income
0,"Sanders, Bernard",20001,UNION REPRESENTATIVE,100.0,other,201906,20001.0,85976.0
1,"Sanders, Bernard",20001,UNION REPRESENTATIVE,3.0,other,201906,20001.0,85976.0
2,"Sanders, Bernard",20001,UNION REPRESENTATIVE,27.0,other,201906,20001.0,85976.0
3,"Sanders, Bernard",20007,IT,3.0,it,201903,20007.0,119267.0
4,"Sanders, Bernard",20001,SOFTWARE DEVELOPER,27.0,it,201906,20001.0,85976.0
5,"Sanders, Bernard",20001,SOFTWARE DEVELOPER,200.0,it,201906,20001.0,85976.0
6,"Sanders, Bernard",20001,SOFTWARE DEVELOPER,200.0,it,201905,20001.0,85976.0
7,"Sanders, Bernard",20001,PARTNER,4.26,leadership,201904,20001.0,85976.0
8,"Sanders, Bernard",20001,PARTNER,27.0,leadership,201904,20001.0,85976.0
9,"Sanders, Bernard",20001,PARTNER,27.0,leadership,201904,20001.0,85976.0
10,"Sanders, Bernard",20001,PARTNER,27.0,leadership,201905,20001.0,85976.0
11,"Sanders, Bernard",20001,PARTNER,50.0,leadership,201905,20001.0,85976.0
12,"Sanders, Bernard",20001,PARTNER,50.0,leadership,201905,20001.0,85976.0
13,"Sanders, Bernard",20001,PARTNER,50.0,leadership,201906,20001.0,85976.0
14,"Sanders, Bernard",20001,PARTNER,50.0,leadership,201906,20001.0,85976.0
15,"Sanders, Bernard",20001,PARTNER,27.0,leadership,201906,20001.0,85976.0
16,"Sanders, Bernard",20001,PARTNER,50.0,leadership,201906,20001.0,85976.0
17,"Sanders, Bernard",20006,ORGANIZER,4.2,business/gov,201904,20006.0,34125.0
18,"Sanders, Bernard",20006,ORGANIZER,27.0,business/gov,201904,20006.0,34125.0
19,"Sanders, Bernard",20003,ATTORNEY,3.0,law,201903,20003.0,112083.0
20,"Sanders, Bernard",20001,ADVISOR,27.0,other,201903,20001.0,85976.0
21,"Sanders, Bernard",20003,RESEARCHER,50.0,science,201903,20003.0,112083.0
22,"Sanders, Bernard",20008,ATTORNEY,500.0,law,201902,20008.0,111074.0
23,"Sanders, Bernard",20006,ORGANIZER,100.0,business/gov,201906,20006.0,34125.0
24,"Sanders, Bernard",20006,ORGANIZER,50.0,business/gov,201906,20006.0,34125.0
25,"Sanders, Bernard",20006,ORGANIZER,50.0,business/gov,201906,20006.0,34125.0
