GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC01_EST_VC39,HC01_MOE_VC39,HC02_EST_VC39,HC02_MOE_VC39,HC01_EST_VC40,HC01_MOE_VC40,HC02_EST_VC40,HC02_MOE_VC40,HC01_EST_VC41,HC01_MOE_VC41,HC02_EST_VC41,HC02_MOE_VC41
Id,Id2,Geography,Total; Estimate; Households,Total; Margin of Error; Households,Median income (dollars); Estimate; Households,Median income (dollars); Margin of Error; Households,Total; Estimate; Households - One race-- - White,Total; Margin of Error; Households - One race-- - White,Median income (dollars); Estimate; Households - One race-- - White,Median income (dollars); Margin of Error; Households - One race-- - White,Total; Estimate; Households - One race-- - Black or African American,Total; Margin of Error; Households - One race-- - Black or African American,Median income (dollars); Estimate; Households - One race-- - Black or African American,Median income (dollars); Margin of Error; Households - One race-- - Black or African American,Total; Estimate; Households - One race-- - American Indian and Alaska Native,Total; Margin of Error; Households - One race-- - American Indian and Alaska Native,Median income (dollars); Estimate; Households - One race-- - American Indian and Alaska Native,Median income (dollars); Margin of Error; Households - One race-- - American Indian and Alaska Native,Total; Estimate; Households - One race-- - Asian,Total; Margin of Error; Households - One race-- - Asian,Median income (dollars); Estimate; Households - One race-- - Asian,Median income (dollars); Margin of Error; Households - One race-- - Asian,Total; Estimate; Households - One race-- - Native Hawaiian and Other Pacific Islander,Total; Margin of Error; Households - One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Estimate; Households - One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Margin of Error; Households - One race-- - Native Hawaiian and Other Pacific Islander,Total; Estimate; Households - One race-- - Some other race,Total; Margin of Error; Households - One race-- - Some other race,Median income (dollars); Estimate; Households - One race-- - Some other race,Median income (dollars); Margin of Error; Households - One race-- - Some other race,Total; Estimate; Households - Two or more races,Total; Margin of Error; Households - Two or more races,Median income (dollars); Estimate; Households - Two or more races,Median income (dollars); Margin of Error; Households - Two or more races,Total; Estimate; Hispanic or Latino origin (of any race),Total; Margin of Error; Hispanic or Latino origin (of any race),Median income (dollars); Estimate; Hispanic or Latino origin (of any race),Median income (dollars); Margin of Error; Hispanic or Latino origin (of any race),"Total; Estimate; White alone, not Hispanic or Latino","Total; Margin of Error; White alone, not Hispanic or Latino","Median income (dollars); Estimate; White alone, not Hispanic or Latino","Median income (dollars); Margin of Error; White alone, not Hispanic or Latino",Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Total; Estimate; FAMILIES - Families,Total; Margin of Error; FAMILIES - Families,Median income (dollars); Estimate; FAMILIES - Families,Median income (dollars); Margin of Error; FAMILIES - Families,Total; Estimate; FAMILIES - Families - With own children of householder under 18 years,Total; Margin of Error; FAMILIES - Families - With own children of householder under 18 years,Median income (dollars); Estimate; FAMILIES - Families - With own children of householder under 18 years,Median income (dollars); Margin of Error; FAMILIES - Families - With own children of householder under 18 years,Total; Estimate; FAMILIES - Families - With no own children of householder under 18 years,Total; Margin of Error; FAMILIES - Families - With no own children of householder under 18 years,Median income (dollars); Estimate; FAMILIES - Families - With no own children of householder under 18 years,Median income (dollars); Margin of Error; FAMILIES - Families - With no own children of householder under 18 years,Total; Estimate; FAMILIES - Families - Married-couple families,Total; Margin of Error; FAMILIES - Families - Married-couple families,Median income (dollars); Estimate; FAMILIES - Families - Married-couple families,Median income (dollars); Margin of Error; FAMILIES - Families - Married-couple families,"Total; Estimate; FAMILIES - Families - Female householder, no husband present","Total; Margin of Error; FAMILIES - Families - Female householder, no husband present","Median income (dollars); Estimate; FAMILIES - Families - Female householder, no husband present","Median income (dollars); Margin of Error; FAMILIES - Families - Female householder, no husband present","Total; Estimate; FAMILIES - Families - Male householder, no wife present","Total; Margin of Error; FAMILIES - Families - Male householder, no wife present","Median income (dollars); Estimate; FAMILIES - Families - Male householder, no wife present","Median income (dollars); Margin of Error; FAMILIES - Families - Male householder, no wife present",Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Total; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Household income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Family income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months
0400000US11,11,District of Columbia,273390,1578,70848,843,44.9,0.4,115890,2427,45.6,0.4,40677,804,0.3,0.1,61985,25597,3.8,0.2,83064,5825,0.0,0.1,(X),(X),3.0,0.2,47350,5779,2.3,0.2,79124,6245,8.2,0.2,61087,3335,40.8,0.4,119934,2214,4.4,0.2,30822,3232,45.1,0.4,84667,1727,32.2,0.4,71544,1775,18.4,0.2,47763,1657,118737,1918,85321,2217,42.7,0.8,66297,4359,57.3,0.8,96575,2557,55.1,0.8,148639,4257,36.1,0.8,36635,1560,8.8,0.7,55158,3728,154653,1882,61466,875,54.5,0.7,55393,1578,44.1,0.7,47243,1832,10.4,0.5,103915,4778,45.5,0.7,69258,2542,33.4,0.7,54378,2600,12.1,0.5,127726,4427,31.7,(X),(X),(X),35.5,(X),(X),(X),27.6,(X),(X),(X)
8600000US20001,20001,ZCTA5 20001,17917,442,85976,5687,45.2,2.0,128154,5725,40.7,2.0,34213,4357,0.2,0.3,-,**,8.6,1.2,78095,24354,0.0,0.2,-,**,2.7,1.0,47423,22222,2.6,0.7,121500,49727,7.3,1.2,82628,21299,41.0,2.1,130351,5436,4.8,0.9,56964,15873,56.1,2.2,117801,6019,27.1,1.9,47552,8740,12.1,1.2,21349,2938,6101,379,92298,15554,38.4,3.5,62647,12236,61.6,3.5,114604,11383,55.1,3.1,147708,12030,34.7,3.5,34704,4636,10.2,2.3,62540,13891,11816,490,81091,6539,49.5,2.5,64875,7240,34.0,2.4,35700,10634,15.5,1.6,122077,8409,50.5,2.5,98432,7447,34.7,2.6,67000,14027,15.7,1.7,157391,12251,33.6,(X),(X),(X),40.0,(X),(X),(X),29.7,(X),(X),(X)
8600000US20002,20002,ZCTA5 20002,24343,458,74303,2487,42.5,1.3,123294,5230,50.5,1.5,38638,3422,0.4,0.2,(X),(X),2.5,0.5,101406,13592,0.0,0.1,-,**,1.3,0.5,40344,14949,2.9,0.7,75104,14311,4.1,1.0,98594,29957,40.2,1.3,121917,4866,3.4,0.6,40882,11237,50.6,1.5,97350,3945,31.3,1.4,60342,5516,14.7,0.9,36282,4402,9981,441,93039,5110,40.6,2.8,77435,17472,59.4,2.8,97353,7906,51.9,2.8,(X),(X),39.2,2.9,(X),(X),8.9,1.7,(X),(X),14362,498,61545,2296,54.4,2.2,60073,8951,41.8,2.3,40914,2673,12.5,1.7,113528,12081,45.6,2.2,70182,13280,30.5,2.0,45176,5391,15.1,1.6,126083,6503,33.9,(X),(X),(X),40.9,(X),(X),(X),27.8,(X),(X),(X)
8600000US20003,20003,ZCTA5 20003,11912,224,112083,5725,70.4,2.1,135838,7028,23.5,2.0,43337,4173,0.3,0.2,(X),(X),2.9,0.7,88333,15288,0.0,0.3,-,**,0.6,0.4,(X),(X),2.4,0.8,173068,71983,4.3,0.8,121458,23950,67.1,2.2,137202,7108,3.7,0.9,68654,10342,51.6,2.3,124321,8214,28.8,2.1,107700,9061,15.8,1.3,70121,12976,4911,291,159663,8965,36.2,2.7,185250,10506,63.8,2.7,146893,12849,76.2,3.5,188672,8751,17.9,3.6,48882,7309,5.9,2.0,75167,34382,7001,318,88504,6131,53.7,3.4,78778,5815,40.2,3.4,71114,4391,13.5,2.1,120787,11341,46.3,3.4,102225,12156,30.0,2.8,81166,8407,16.3,2.3,151333,9203,22.3,(X),(X),(X),22.2,(X),(X),(X),21.3,(X),(X),(X)
8600000US20004,20004,ZCTA5 20004,1135,124,135859,13101,86.0,5.4,131848,13295,2.8,2.1,82813,61337,0.0,2.8,-,**,8.0,3.6,233750,94464,0.0,2.8,-,**,0.0,2.8,-,**,3.2,3.7,-,**,6.3,4.8,141554,18112,79.6,7.1,129000,14649,1.4,1.3,68000,31650,51.7,6.6,127917,20443,31.1,6.9,137125,28369,15.8,5.0,173281,57655,298,73,223750,29775,28.2,13.2,233889,56382,71.8,13.2,217143,32835,91.9,7.4,(X),(X),5.7,6.5,(X),(X),2.3,3.6,(X),(X),837,110,117992,11311,46.2,8.0,(X),(X),38.5,8.1,(X),(X),7.8,4.3,(X),(X),53.8,8.0,(X),(X),49.1,8.4,(X),(X),4.7,3.1,(X),(X),18.5,(X),(X),(X),15.4,(X),(X),(X),19.6,(X),(X),(X)
8600000US20005,20005,ZCTA5 20005,8351,328,87676,8402,68.1,4.0,98091,11642,14.3,2.8,16637,2039,0.1,0.2,-,**,7.4,1.6,98750,30825,0.4,0.6,-,**,4.8,2.3,70331,23375,5.0,2.2,178077,150399,15.6,3.7,70357,11402,58.3,4.2,108147,10327,6.1,1.8,34769,13755,60.1,3.9,101678,14818,24.1,3.2,90387,20764,9.7,2.4,20145,11000,1577,300,128901,31969,25.6,7.3,(X),(X),74.4,7.3,(X),(X),83.5,7.0,(X),(X),9.3,5.1,(X),(X),7.2,5.8,(X),(X),6774,408,81049,4569,48.9,4.8,(X),(X),39.5,4.7,(X),(X),9.4,2.7,(X),(X),51.1,4.8,(X),(X),40.1,4.7,(X),(X),10.9,3.0,(X),(X),25.2,(X),(X),(X),31.5,(X),(X),(X),23.5,(X),(X),(X)
8600000US20006,20006,ZCTA5 20006,748,99,34125,10306,64.3,10.7,41250,9221,3.2,4.4,-,**,0.8,1.1,-,**,24.7,9.1,(X),(X),0.0,4.2,-,**,0.9,1.4,-,**,6.0,5.3,"2,500-",***,7.0,5.1,(X),(X),58.3,11.1,41900,10373,30.9,8.9,(X),(X),49.5,10.6,(X),(X),5.9,4.3,(X),(X),13.8,7.0,(X),(X),18,21,-,**,0.0,69.9,-,**,100.0,69.9,-,**,38.9,61.1,-,**,61.1,61.1,-,**,0.0,69.9,-,**,730,96,33000,11670,50.7,9.8,(X),(X),47.3,9.9,(X),(X),3.4,2.1,(X),(X),49.3,9.8,(X),(X),37.4,10.0,(X),(X),11.9,6.2,(X),(X),20.6,(X),(X),(X),61.1,(X),(X),(X),19.6,(X),(X),(X)
8600000US20007,20007,ZCTA5 20007,11985,363,119267,11199,86.9,2.1,124821,7736,4.3,1.7,70219,34881,0.2,0.2,-,**,4.9,1.1,82727,42398,0.0,0.3,-,**,1.5,1.0,133953,81054,2.2,0.9,41581,27161,8.5,1.9,87014,33604,80.2,2.4,128082,8345,7.2,1.3,38421,10029,44.6,2.5,105170,12920,27.8,2.1,187904,20932,20.3,1.8,117266,11881,4633,295,222125,20751,44.3,4.5,236250,28252,55.7,4.5,217581,27915,87.5,2.9,(X),(X),9.3,2.5,(X),(X),3.3,1.8,(X),(X),7352,461,78024,9426,62.7,3.5,(X),(X),48.4,3.5,(X),(X),14.4,2.6,(X),(X),37.3,3.5,(X),(X),24.8,3.6,(X),(X),12.5,2.7,(X),(X),29.4,(X),(X),(X),27.3,(X),(X),(X),30.1,(X),(X),(X)
8600000US20008,20008,ZCTA5 20008,15495,464,111074,4526,80.7,2.7,118064,7179,7.5,2.1,101473,37948,0.4,0.5,-,**,6.0,1.7,79333,14110,0.0,0.2,-,**,3.2,1.6,72396,48430,2.1,0.8,102688,56949,10.2,2.0,82697,23617,75.6,2.7,120347,4480,4.2,1.1,45595,22917,48.9,2.2,101994,6694,26.0,1.8,153717,12307,20.9,1.7,104826,18637,5148,336,183587,18938,34.9,4.6,188938,31613,65.1,4.6,181377,24916,86.1,3.8,206875,21601,7.8,2.9,79800,29863,6.1,3.6,122088,10549,10347,539,85122,7861,60.3,3.8,77955,7616,47.4,3.5,72123,4614,12.9,2.3,111250,8542,39.7,3.8,99875,9337,28.2,3.5,82444,8598,11.6,2.5,125950,9480,22.0,(X),(X),(X),19.8,(X),(X),(X),22.5,(X),(X),(X)
